"","ID","org","collection","freq","jurisdiction","date_created","date_last_mod","type"
"211","23743e4e-a7f3-4efa-bf32-ef7a8ff7e288","statcan","primary","as_needed","federal","2021-03-05T13:39:35.933350","2021-03-08T13:41:43.571640","dataset"
"212","2385f588-a11c-4059-aec1-16658dcd2efa","on","federated","P1Y","provincial","2021-01-27T15:52:36.458175","2021-01-28T16:47:41.502936","dataset"
"213","23f8d075-4574-4238-a3d1-f3ba5674fce0","qc","federated","as_needed","provincial","2020-09-11T14:36:35.244032","2021-03-17T10:00:33.514877","dataset"
"214","243f731a-0c30-4e31-a15b-bd388cb7c91d","qc","federated","irregular","municipal","2020-09-11T14:36:43.665610","2021-03-03T10:00:22.266041","dataset"
"215","2465cf83-f340-4d80-9645-43d3e94e029c","qc","federated","P1Y","provincial","2020-09-11T14:36:52.557062","2021-02-01T14:30:03.449397","dataset"
"216","2474b4f2-c4aa-436e-b1fd-830f4a70cede","qc","federated","P1Y","provincial","2020-11-27T13:48:15.759845","2021-02-01T14:30:05.077736","dataset"
"217","24bb7612-4483-43cd-a469-11d8d4c20f2e","tc","primary","P1Y","federal","2020-06-26T18:00:59.926923","2020-06-26T18:00:59.926929","dataset"
"218","253ce98b-ecf4-40b3-9a9a-4cdd28b8fced","statcan","primary","as_needed","federal","2021-01-26T13:44:22.359124","2021-01-27T13:41:39.225341","dataset"
"219","258c9916-1e2f-49b2-8c5c-1e2134dc403a","qc","federated","P1Y","municipal","2020-09-11T14:37:00.710566","2021-02-01T14:30:07.896647","dataset"
"220","25d00cfd-2e61-4d38-848f-95eb6acd46f5","on","federated","as_needed","provincial","2021-01-27T15:52:44.060957","2021-01-28T16:47:43.034133","dataset"
"221","25dabc10-e61a-491c-a0de-98b4d788b4d2","qc","federated","P1Y","provincial","2020-09-11T14:37:10.660690","2021-02-01T14:30:10.475278","dataset"
"222","260b8035-8f36-4f62-97a7-257fde158dfc","qc","federated","as_needed","provincial","2020-09-11T14:37:19.686703","2021-02-01T14:30:12.513967","dataset"
"223","261c32ab-4cfd-4f81-9dea-7b64065690dc","phac-aspc","primary","P1D","federal","2020-04-29T18:00:51.931231","2021-02-26T00:41:24.445598","dataset"
"224","26399105-f483-48cd-b3de-28fcdeecabc7","qc","federated","P1Y","provincial","2020-09-11T14:37:27.948513","2021-02-01T14:30:13.911496","dataset"
